Player,Tm,Pos,G▼,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Hamchetou Maiga-Ba,MIN,F,34,467,6.8,0.427,0.009,0.295,8.1,9.7,11.3,1.4,0.9,22.2,14.9,-0.5,0.3,-0.2,-0.013
Janel McCarville,NYL,F-C,34,967,12.9,0.502,0.04,0.182,8.7,13.2,12.8,2.5,2,22.5,18.4,-0.1,1.7,1.6,0.068
Angel McCoughtry,ATL,F-G,34,1044,20.5,0.506,0.209,0.395,6.5,8.8,18,3,1.5,13.2,31.6,2.2,1.9,4.1,0.158
Taj McWilliams-Franklin,NYL,F-C,34,994,17.8,0.576,0.084,0.336,9.5,11.8,11.8,2.5,2.5,14.2,17.2,2.7,1.7,4.4,0.178
Chasity Melvin,WAS,C-F,34,659,11.9,0.462,0,0.243,14.3,15.6,6.1,1.9,2.2,17.6,16.1,0.2,1.4,1.6,0.097
DeLisha Milton-Jones,LAS,F,34,1096,15.9,0.559,0.2,0.309,3.8,8.9,14.6,1.8,1.6,17.1,23.6,1.3,0.8,2.1,0.077
Leilani Mitchell,NYL,G,34,978,16.3,0.617,0.622,0.181,3.3,5.8,21.4,3,0.5,16.6,14.7,2.8,1.3,4.2,0.171
Renee Montgomery,CON,G,34,940,16.6,0.526,0.48,0.211,1.7,4.4,26.1,2.6,0.2,15.3,23.7,1.6,1.1,2.7,0.117
Jia Perkins,CHI,G,34,936,14.9,0.472,0.298,0.117,4.7,6.5,16.7,3.2,0.5,9.4,21,0.9,1.1,2.1,0.088
Cappie Pondexter,NYL,G,34,1167,24.6,0.604,0.283,0.335,2.3,8.4,27.7,1.4,0.3,11.8,27.3,6.1,1.3,7.3,0.252
Nicole Powell,NYL,F,34,895,13.9,0.524,0.58,0.108,4.7,10.2,14.1,2,0.7,13.7,18.2,1.2,1.3,2.5,0.112
Armintie Herrington,ATL,G,34,561,12,0.457,0.029,0.737,8.1,10,15.8,2.6,0.3,16.6,15.7,0.4,0.9,1.3,0.091
Epiphanny Prince,CHI,G,34,665,19.5,0.527,0.259,0.354,2.6,6.4,27.2,4.4,0.6,15.9,26.3,1.1,1.1,2.2,0.133
Noelle Quinn,LAS,G,34,1104,12.8,0.525,0.282,0.159,2.9,7.4,14.8,1.6,0.8,12.4,15.7,1.3,0.5,1.8,0.066
Nakia Sanford,WAS,C-F,34,608,11,0.533,0,0.478,11.3,15.2,7.3,2.2,1.1,26.1,19.5,-0.2,1.3,1.2,0.078
Tangela Smith,PHO,C,34,992,9.7,0.499,0.492,0.12,3.9,9.9,4.3,1.1,2.1,10.5,15,0.5,0,0.5,0.022
Michelle Snow,SAS,C,34,821,20.5,0.607,0.004,0.355,8.1,16.2,12.4,2.1,2.5,16.2,19.7,2.1,1,3.2,0.154
Tammy Sutton-Brown,IND,C,34,875,13.8,0.506,0.004,0.432,9.8,12.3,5.8,2,5.5,16.8,17.1,0.6,1.9,2.5,0.115
Erin Thorn,CHI,G,34,683,12.4,0.576,0.588,0.212,2.2,5.8,18.3,1.6,0.2,19.5,15.7,1,0.5,1.4,0.084
Kristi Toliver,LAS,G,34,703,12.2,0.552,0.442,0.225,4.1,6.5,11.1,1.3,0.2,15.9,20.5,0.6,0.1,0.7,0.042
Tan White,CON,G,34,857,14.4,0.542,0.465,0.226,1.1,6,15.6,3.2,0.4,14.3,18.9,1.2,1.4,2.6,0.122
Monica Wright,MIN,G,34,866,10.3,0.458,0.25,0.221,3.6,6.5,11.1,2,0.7,14,23.8,-0.4,0.7,0.3,0.014
Tanisha Wright,SEA,G,34,988,13.5,0.521,0.215,0.345,3.4,7,25.5,2.2,0.8,19.1,17,2,1.6,3.6,0.146
Sophia Young-Malcolm,SAS,F,34,1082,18.4,0.538,0.088,0.278,5.2,10.4,14.5,2.6,0.7,12.6,24,1.8,0.9,2.8,0.103
Tiffany Jackson-Jones,TOT,F,34,717,12.1,0.479,0.005,0.445,8.4,14.2,8.7,2.8,1,20.1,17.9,-0.2,0.5,0.3,0.018
Sue Bird,SEA,G,33,1005,18,0.554,0.476,0.135,0.9,5.4,32.3,2.7,0.4,15.4,17.5,3.3,1.7,5,0.197
Helen Darling,SAS,G,33,391,5.4,0.427,0.367,0.567,3.6,5.5,18,2.7,0.2,29.9,12.8,-0.4,0.2,-0.3,-0.026
Jessica Davenport,IND,C,33,469,19.6,0.613,0.042,0.411,7.1,12.2,6.7,1.6,5,16.8,23.2,1.1,1,2.1,0.176
Kalana Greene,NYL,G,33,519,8.3,0.505,0.152,0.174,3.5,6.7,9.9,1.3,1.1,19.5,16.6,-0.2,0.5,0.3,0.024
Amber Holt,TUL,F,33,697,15.1,0.522,0.358,0.338,4.4,8.4,14.6,2.1,0.8,11.8,18.9,1.2,-0.1,1.2,0.068
Marion Jones,TUL,G,33,311,15,0.564,0.1,0.525,10.3,9.9,10.4,2.8,1.9,18.9,16.5,0.4,0,0.5,0.058
Edwige Lawson-Wade,SAS,G,33,724,12.6,0.54,0.702,0.238,3,5.6,20.9,2.6,0.2,18.4,15.8,1.1,0.3,1.4,0.078
Shalee Lehning,ATL,G,33,775,9.5,0.516,0.34,0.283,3.9,6.3,28,1.5,0.6,33.9,9.4,0.4,0.9,1.3,0.067
Jessica Moore,IND,F-C,33,431,6,0.494,0.011,0.337,8.3,9.9,5.4,0.7,0.8,22.7,14,-0.1,0.5,0.4,0.039
Katie Smith,WAS,G,33,1016,10,0.523,0.54,0.199,1.7,4.4,14.3,1.3,0.4,15,15.8,1.5,1.3,2.8,0.109
Tina Thompson,LAS,F,33,1095,17.9,0.557,0.365,0.245,7.1,11.4,10.3,1.8,1.8,13.5,23.9,2,0.9,2.9,0.108
Lindsay Whalen,MIN,G,33,1110,16.4,0.53,0.202,0.453,3,6.9,29.6,2.1,0.4,16.2,18.1,2.6,1,3.6,0.128
Le'coe Willingham,SEA,F,33,515,17,0.613,0.238,0.323,15.6,16.2,7.3,1.7,0.8,16.8,15.6,1.6,0.9,2.5,0.191
Plenette Pierson,TOT,F,33,544,18.8,0.541,0.042,0.31,7.1,13.2,14.3,2.6,1.7,16.6,29.7,0.5,0.8,1.4,0.102
DeWanna Bonner,PHO,G-F,32,813,19.5,0.569,0.187,0.419,9.7,13.4,7.4,1.3,3.3,10.9,19.7,2.6,0.2,2.8,0.139
Becky Hammon,SAS,G,32,1075,17.7,0.598,0.492,0.281,1.9,5.5,28.2,1.8,0.6,21.1,22.3,2.5,0.3,2.8,0.105
Lauren Jackson,SEA,F-C,32,993,27.9,0.592,0.328,0.374,11.3,16.3,7.7,1.6,3.3,7.7,27.3,6.1,2.2,8.3,0.333
Yelena Leuchanka,ATL,C,32,339,10.4,0.537,0.048,0.41,9.2,13.5,5.5,2.3,1.8,27.1,20.3,-0.3,0.7,0.3,0.041
Sancho Lyttle,ATL,F,32,930,19.8,0.53,0,0.358,11.8,18.8,12.2,2.8,1.6,14,19.6,2.1,2.3,4.4,0.187
Ticha Penicheiro,LAS,G,32,843,14.5,0.525,0.077,0.615,2.5,9.2,39.8,2.6,0.2,32.6,12,1.1,0.8,2,0.093
Ketia Swanier,PHO,G,32,322,8,0.469,0.337,0.228,1.8,6.6,23,1.6,0.2,28.8,18.7,-0.5,-0.1,-0.6,-0.073
Penny Taylor,PHO,F,32,959,22.5,0.64,0.306,0.385,3.9,8.2,25.9,2.3,0.7,16,20.9,4.4,0.1,4.5,0.188
Lindsay Wisdom-Hylton,LAS,F,32,482,14.6,0.533,0.017,0.283,11.8,13.7,4.9,1.9,4,14,15,0.7,0.5,1.2,0.099
Tamera Young,CHI,F,32,595,11,0.446,0.224,0.362,6.9,10.2,15.1,2.2,1,16.8,22.8,-0.5,0.7,0.3,0.018
Nicole Ohlde,TOT,F-C,32,523,7.9,0.485,0,0.321,4.7,9,8.1,1,2.5,20.4,16.2,-0.4,-0.1,-0.5,-0.035
Nicky Anosike,MIN,F-C,31,928,14.9,0.49,0,0.691,9.5,13.3,10.9,3.4,3,18.5,16.5,0.7,1.7,2.4,0.103
Diana Taurasi,PHO,G,31,998,22.8,0.592,0.431,0.437,1.4,7.4,23.8,1.8,1.4,15.7,29.8,3.8,0,3.8,0.154
DeMya Walker,CON,F,31,341,10.1,0.503,0.029,0.438,9.9,10.6,12.2,2.1,1.1,24.2,21.3,-0.1,0.5,0.3,0.039
Shavonte Zellous,TOT,G,31,485,10.2,0.444,0.217,0.528,3.8,7.5,15.8,1.5,2.9,15,21.7,-0.1,0.7,0.6,0.046
Rebekkah Brunson,MIN,F,30,915,17.3,0.495,0.004,0.586,14.1,19.7,4.5,2,2.7,12.5,18.4,1.4,1.6,3,0.131
Marie Ferdinand-Harris,LAS,G,30,728,11.2,0.489,0.194,0.251,3.2,6.7,8.9,1.9,0.6,10.7,19.4,0.3,0.3,0.6,0.034
Briann January,IND,G,30,657,12.1,0.522,0.337,0.491,3.8,5.5,24.4,3,0.5,24.2,19.5,0.4,1.1,1.5,0.092
Asjha Jones,CON,F,30,774,14,0.489,0.065,0.148,7,10.7,15.5,0.9,1.3,14.1,21.8,0.6,0.9,1.4,0.074
Kelly Miller,ATL,G,30,493,8.6,0.453,0.654,0.234,2.6,6.3,21.9,2.2,0.3,23.9,12.7,0.1,0.7,0.8,0.062
Ashley Robinson,SEA,C,30,245,7.6,0.41,0,0.196,8.2,14.3,9.5,0.9,7.4,25.4,12.3,-0.3,0.6,0.3,0.049
Kia Vaughn,NYL,C,30,243,4.4,0.398,0.014,0.29,7.9,11.1,6.5,1.3,2.1,18.8,18.4,-0.5,0.3,-0.2,-0.027
Shanna Zolman,TUL,G,30,639,12.6,0.533,0.519,0.115,1.6,3.8,13.5,2,0.3,15.2,21.2,0.4,-0.3,0.1,0.006
Chamique Holdsclaw,SAS,F,29,840,18.6,0.546,0.095,0.22,7.8,11.7,13.2,2.7,1,15.3,23.7,1.3,0.8,2,0.096
Andrea Riley,LAS,G,29,224,12.6,0.475,0.573,0.416,2.8,6,21.9,3.2,0.4,18.6,26.5,-0.1,0.2,0,0.009
Jana Vesela,SEA,F,29,330,13.4,0.632,0.234,0.313,6.1,10.8,8.9,2.9,1.8,26.3,13.5,0.4,0.7,1.1,0.13
Jayne Appel-Marinelli,SAS,C,28,306,12.4,0.558,0.042,0.479,8.8,14.7,7.2,1.2,1.3,18.1,16.1,0.3,0.2,0.5,0.07
Sandrine Gruda,CON,F-C,28,636,19.8,0.569,0.049,0.571,9.2,11.1,9.3,1.5,2.6,13.7,22.6,1.8,0.9,2.7,0.171
Alexis Hornbuckle,TOT,G,28,510,10.3,0.443,0.38,0.233,4.5,8.2,18,4,2.1,21.5,15.1,-0.3,0.5,0.2,0.019
Kiesha Brown,TUL,G,27,481,9.9,0.489,0.319,0.194,2.1,6.4,22,1.5,0,20.4,17.2,0,-0.2,-0.2,-0.017
Coco Miller,ATL,G,27,198,8.1,0.466,0.306,0.165,3.3,4.2,17.9,1.2,0,18,22.7,-0.1,0.2,0.1,0.016
Crystal Kelly,SAS,F,26,242,8.2,0.562,0.02,0.92,6.9,7.8,4.6,1.5,0.3,24.7,18,0,0,0.1,0.012
Shay Murphy,TOT,G,26,376,10.9,0.414,0.338,0.353,8.9,13.3,15.1,2.4,0.5,15.3,23.1,-0.4,0.7,0.3,0.031
Seimone Augustus,MIN,G,25,832,14.7,0.488,0.261,0.124,1.2,5.7,12,1,0.7,7.5,24.1,0.9,0.5,1.4,0.066
Kerri Gardin,CON,F,25,206,6.4,0.343,0.297,0.324,6,7.9,11.4,2.2,1.1,17.6,10.9,-0.2,0.3,0.1,0.016
Quanitra Hollingsworth,MIN,C,25,182,2.7,0.448,0,0.676,7.7,14,3.6,1.4,0.5,30.4,16.3,-0.5,0.2,-0.3,-0.058
Jene Morris,IND,G,25,196,8.7,0.535,0.576,0.045,1.9,4.4,11.3,2.2,0.9,20.2,19.6,-0.1,0.3,0.2,0.046
Jennifer Lacy,TUL,F,24,402,12,0.504,0.312,0.397,7.1,10.4,8.1,2.3,1.5,17,20.9,0.1,0,0.1,0.013
Brittainey Raven,ATL,G,23,125,6.2,0.35,0.4,0.178,10.4,9.3,11.3,1.9,0.6,15.6,18.6,-0.2,0.2,0,-0.008
Rashanda McCants,TOT,F,23,374,10.8,0.468,0.444,0.274,7.2,8.2,11.7,2,1.1,12.6,18.1,0.2,0.2,0.4,0.044
Alison Lacey,SEA,G,21,144,-1.3,0.215,0.771,0.143,2.6,6.8,10,2.2,0.6,17.7,14.2,-0.5,0.2,-0.3,-0.073
Taylor Lilley,PHO,G,21,227,9.4,0.557,0.741,0.19,1.6,4.4,9.1,2.3,0.3,20.3,14.7,0.1,0,0,0.008
Chanel Mokango,LAS,F,21,72,2.7,0.24,0.118,0.235,6.9,11,2.1,1.4,11.1,21,15.2,-0.3,0.1,-0.2,-0.126
Allison Hightower,CON,G,20,207,8,0.403,0.3,0.267,5.5,6.8,6.8,3.5,0.8,13,16.3,-0.2,0.3,0.2,0.03
Ashley Houts,WAS,G,20,110,7.8,0.504,0.75,0.125,4.9,7.6,12.9,2.9,0,29.3,9.9,0,0.2,0.2,0.078
Ruth Riley,SAS,C,20,261,11.5,0.597,0.093,0.37,2.9,10.9,12.1,1,4,23.2,14.7,0.2,0.2,0.4,0.066
Sidney Spencer,NYL,G,20,168,10.9,0.605,0.349,0,1.5,6.1,6,1.9,0,15.7,14.1,0.2,0.2,0.3,0.082
Anete Jekabsone-Zogota,CON,G,19,352,12.1,0.523,0.588,0.115,1.3,6.4,16,1.3,1.1,14.3,20,0.4,0.4,0.8,0.088
Sandora Irvin,CHI,F,18,137,7.1,0.515,0.233,0.3,10,11.8,3.8,0.8,3.6,22.7,14.9,0,0.1,0.1,0.03
Ivory Latta,TUL,G,18,517,14.3,0.542,0.438,0.265,1.5,2.9,24.1,1.7,0.3,15.9,20,0.9,-0.4,0.5,0.04
Jacinta Monroe,WAS,F,17,117,11.3,0.496,0.032,0.387,4.6,8.8,4.6,2.3,5.8,14.2,16.5,0,0.3,0.3,0.109
Abby Bishop,SEA,F,16,109,5,0.441,0.533,0.244,12.7,11.3,6.4,1,0.8,19.4,25.6,-0.2,0.1,0,-0.011
Natasha Lacy,TUL,G,16,293,13.8,0.525,0.15,0.463,1.9,7.3,32.3,3.8,0.9,28.3,19.3,-0.1,0.2,0,0.006
Brooke Smith,PHO,F-C,16,131,14.6,0.767,0,0.304,5.4,12.3,4.4,0.4,2.2,10.3,9.4,0.5,0,0.4,0.137
Nikki Blue,NYL,G,15,77,4.1,0.374,0.286,0.333,1.7,5,26,2.8,0,27.2,20,-0.2,0.1,-0.1,-0.065
Sequoia Holmes,PHO,G,15,119,1.4,0.296,0.282,0.385,7.9,9.4,6.6,2.4,0,18,19.8,-0.5,0,-0.5,-0.16
Nuria Martinez,MIN,G,15,128,-0.6,0.33,0.606,0.545,0,5,13.5,2,0,22.7,17.7,-0.5,0.1,-0.4,-0.117
Christi Thomas,CHI,F-C,15,127,0.5,0.42,0.05,0.3,5.9,12.7,2.5,0.4,2,23.6,10.8,-0.2,0.1,0,-0.014
Betty Lennox,LAS,G,11,128,13.6,0.555,0.783,0.13,3.9,9,23.2,0.8,0,12.6,20,0.3,0,0.4,0.111
Shameka Christon,CHI,G,10,213,13.2,0.5,0.449,0.205,1.8,7,20.4,0.8,0.8,9.6,20.5,0.4,0.1,0.5,0.102
Megan Frazee,SAS,F,10,101,9.1,0.471,0.281,0.594,8.9,13.2,1.7,0,0,12.9,21.5,0,0,0,-0.001
Candace Parker,LAS,F,10,335,24.4,0.552,0.074,0.346,7,18.3,14,1.5,5.3,14.6,30,0.4,0.6,1,0.123
Candice Wiggins,MIN,G,8,238,16.9,0.631,0.622,0.405,3.2,5.4,12.9,3,0,17.9,19.1,0.7,0.2,1,0.161
Joy Cheek,IND,F,7,34,3.3,0.545,0.25,0.333,0,5.4,5.5,0,0,26.7,25.2,-0.1,0,0,-0.042
Amanda Thompson,TUL,F,7,49,2.4,0.299,0,0.714,4.5,13,9,3,0,17.9,19.3,-0.2,0,-0.2,-0.136
Allie Quigley,TOT,G,7,43,15.5,0.644,0.333,0.667,0,2.9,4.1,2.5,2,16.2,19.9,0.1,0,0.1,0.123
Abi Olajuwon,CHI,C,6,30,5.9,0.5,0,0,12.5,8.3,0,1.8,0,25,12.4,0,0,0,-0.006
Ashley Battle,SAS,F,5,35,1.8,0.333,0.417,0,14.6,16.3,4.8,0,0,20,20.1,-0.1,0,-0.1,-0.139
Kristen Mann,MIN,F,5,15,-2.9,0.25,0.667,0,0,0,0,0,0,0,17.2,-0.1,0,-0.1,-0.155
Tiffany Stansbury,LAS,F-C,5,14,-2.4,0.387,0,0.667,0,0,0,3.7,0,34,19.3,-0.1,0,-0.1,-0.226
Gabriela Marginean,MIN,F,4,12,8.6,0.2,0,0,26.9,19.4,13.9,4.2,7.2,16.7,21.5,-0.1,0,0,-0.095
Belinda Snell,SAS,G,2,38,9.6,0.455,0.556,0.222,3.4,6.7,20.7,0,0,16.8,14.6,0,0,0,0.01
Ashley Walker,TUL,F-C,2,9,-18.5,0,0.333,0,0,0,0,10.9,0,40,23.4,-0.1,0,-0.1,-0.545
Jessica Adair,MIN,C,1,14,25.2,0.906,0,4,30.8,33.2,0,0,0,0,8.5,0.1,0,0.1,0.4
